prefix,sample_id,species,latitude,longitude,location,region,DNA source,data_type,mapper,reference,layer_cm,layer_years,Kraken,period
79051_ID2350_36-DL12_S4_L001,DL12,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79052_ID2350_35-DL10_S5_L001,DL10,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79053_ID2350_21-DL40_S6_L001,DL40,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79054_ID2350_25-DL22_S7_L001,DL22,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79055_ID2350_30-DL20_S8_L001,DL20,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79056_ID2350_14-DL6_S9_L001,DL6,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79057_ID2350_12-DL35_S10_L001,DL35,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79058_ID2350_34-DC24_S11_L001,DC24,cucullata,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79059_ID2350_31-DC8_S12_L001,DC8,cucullata,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79060_ID2350_24-DC21_S13_L001,DC21,cucullata,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79061_ID2350_2-DC15_S14_L001,DC15,cucullata,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,June_2021
79062_ID2350_33-M6dl_S15_L001,M6dl,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,March_2021
79063_ID2350_26-M9dl_S16_L001,M9dl,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,March_2021
79064_ID2350_3-M7dl_S17_L001,M7dl,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,March_2021
79065_ID2350_17-M13dl_S18_L001,M13dl,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,March_2021
79066_ID2350_29-M3dl_S19_L001,M3dl,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,March_2021
79067_ID2350_11-M2dl_S20_L001,M2dl,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,March_2021
79068_ID2350_1-M16dl_S21_L001,M16dl,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,March_2021
79069_ID2350_5-M20dl_S22_L001,M20dl,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,March_2021
